Transaction ID,Amount,Reference Number,Date,Description,Account Number
TXN0036,4837.50,REF0036,2024-01-09,Travel #36,ACC0036
TXN0037,1653.11,REF0037,2024-02-10,License #37,ACC0037
TXN0038,3279.57,REF0038,2024-03-11,Equipment #38,ACC0038
TXN0039,4483.99,REF0039,2024-04-12,Supplies #39,ACC0039
TXN0040,237.91,REF0040,2024-05-13,Travel #40,ACC0040
TXN0041,1072.22,REF0041,2024-06-14,Marketing #41,ACC0041
TXN0042,3735.97,REF0042,2024-07-15,Equipment #42,ACC0042
TXN0043,2024.67,REF0043,2024-08-16,Subscription #43,ACC0043
TXN0044,731.11,REF0044,2024-09-17,Marketing #44,ACC0044
TXN0045,1880.04,REF0045,2024-10-18,Supplies #45,ACC0045
TXN0046,1731.42,REF0046,2024-11-19,License #46,ACC0046
TXN0047,4292.77,REF0047,2024-12-20,Marketing #47,ACC0047
TXN0048,317.55,REF0048,2024-01-21,Marketing #48,ACC0048
TXN0049,3049.45,REF0049,2024-02-22,Payment #49,ACC0049
TXN0050,1319.67,REF0050,2024-03-23,Subscription #50,ACC0050
TXN0051,4261.93,REF0051,2024-04-24,License #51,ACC0051
TXN0052,2592.96,REF0052,2024-05-25,Equipment #52,ACC0052
TXN0053,4820.65,REF0053,2024-06-26,Consulting #53,ACC0053
TXN0054,1176.20,REF0054,2024-07-27,Subscription #54,ACC0054
TXN0055,1256.84,REF0055,2024-08-28,Consulting #55,ACC0055
TXN0056,666.15,REF0056,2024-09-01,Travel #56,ACC0056
TXN0057,1971.75,REF0057,2024-10-02,Supplies #57,ACC0057
TXN0058,3222.73,REF0058,2024-11-03,Maintenance #58,ACC0058
TXN0059,551.26,REF0059,2024-12-04,Equipment #59,ACC0059
TXN0060,4377.94,REF0060,2024-01-05,Equipment #60,ACC0060
TXN0061,2411.20,REF0061,2024-02-06,Payment #61,ACC0061
TXN0062,216.23,REF0062,2024-03-07,License #62,ACC0062
TXN0063,2153.82,REF0063,2024-04-08,Maintenance #63,ACC0063
TXN0064,2461.51,REF0064,2024-05-09,License #64,ACC0064
TXN0065,3025.02,REF0065,2024-06-10,Consulting #65,ACC0065
TXN0066,1473.38,REF0066,2024-07-11,Consulting #66,ACC0066
TXN0067,905.21,REF0067,2024-08-12,Training #67,ACC0067
TXN0068,4050.39,REF0068,2024-09-13,Supplies #68,ACC0068
TXN0069,3869.44,REF0069,2024-10-14,Payment #69,ACC0069
TXN0070,3469.19,REF0070,2024-11-15,Payment #70,ACC0070
TXN0071,4192.73,REF0071,2024-12-16,Subscription #71,ACC0071
TXN0072,4469.17,REF0072,2024-01-17,Payment #72,ACC0072
TXN0073,1994.37,REF0073,2024-02-18,Travel #73,ACC0073
TXN0074,591.34,REF0074,2024-03-19,Maintenance #74,ACC0074
TXN0075,3035.50,REF0075,2024-04-20,Maintenance #75,ACC0075
TXN0076,207.93,REF0076,2024-05-21,Training #76,ACC0076
TXN0077,1310.37,REF0077,2024-06-22,Payment #77,ACC0077
TXN0078,4758.12,REF0078,2024-07-23,Equipment #78,ACC0078
TXN0079,1744.57,REF0079,2024-08-24,License #79,ACC0079
TXN0080,2383.08,REF0080,2024-09-25,Subscription #80,ACC0080
TXN0081,1181.39,REF0081,2024-10-26,Subscription #81,ACC0081
TXN0082,2058.70,REF0082,2024-11-27,Training #82,ACC0082
TXN0083,1748.43,REF0083,2024-12-28,Consulting #83,ACC0083
TXN0084,4727.79,REF0084,2024-01-01,License #84,ACC0084
TXN0085,859.73,REF0085,2024-02-02,Maintenance #85,ACC0085
TXN0086,3528.53,REF0086,2024-03-03,Supplies #86,ACC0086
TXN0087,532.95,REF0087,2024-04-04,Payment #87,ACC0087
TXN0088,386.91,REF0088,2024-05-05,Maintenance #88,ACC0088
TXN0089,2006.66,REF0089,2024-06-06,Consulting #89,ACC0089
TXN0090,4554.10,REF0090,2024-07-07,Payment #90,ACC0090
TXN0091,2891.75,REF0091,2024-08-08,Marketing #91,ACC0091
TXN0092,3696.87,REF0092,2024-09-09,Travel #92,ACC0092
TXN0093,3331.12,REF0093,2024-10-10,Marketing #93,ACC0093
TXN0094,3187.23,REF0094,2024-11-11,Consulting #94,ACC0094
TXN0095,3566.42,REF0095,2024-12-12,Training #95,ACC0095
TXN0096,512.11,REF0096,2024-01-13,Travel #96,ACC0096
TXN0097,307.73,REF0097,2024-02-14,Consulting #97,ACC0097
TXN0098,3182.82,REF0098,2024-03-15,Supplies #98,ACC0098
TXN0099,630.70,REF0099,2024-04-16,Subscription #99,ACC0099
TXN0100,1003.06,REF0100,2024-05-17,Maintenance #100,ACC0100
TXN0101,4308.95,REF0101,2024-06-18,Marketing #101,ACC0101
TXN0102,1562.64,REF0102,2024-07-19,Maintenance #102,ACC0102
TXN0103,3561.01,REF0103,2024-08-20,Equipment #103,ACC0103
TXN0104,4143.11,REF0104,2024-09-21,Equipment #104,ACC0104
TXN0105,3138.09,REF0105,2024-10-22,Supplies #105,ACC0105
TXN0106,1038.36,REF0106,2024-11-23,Equipment #106,ACC0106
TXN0107,732.66,REF0107,2024-12-24,Consulting #107,ACC0107
TXN0108,1088.62,REF0108,2024-01-25,Training #108,ACC0108
TXN0109,2680.55,REF0109,2024-02-26,Payment #109,ACC0109
TXN0110,2792.09,REF0110,2024-03-27,Marketing #110,ACC0110
TXN0111,3988.34,REF0111,2024-04-28,Supplies #111,ACC0111
TXN0112,407.28,REF0112,2024-05-01,Marketing #112,ACC0112
TXN0113,1895.05,REF0113,2024-06-02,Subscription #113,ACC0113
TXN0114,992.50,REF0114,2024-07-03,Consulting #114,ACC0114
TXN0115,3947.65,REF0115,2024-08-04,Payment #115,ACC0115
TXN0116,2852.46,REF0116,2024-09-05,Subscription #116,ACC0116
TXN0117,1409.39,REF0117,2024-10-06,Training #117,ACC0117
TXN0118,4542.42,REF0118,2024-11-07,Subscription #118,ACC0118
TXN0119,1216.03,REF0119,2024-12-08,License #119,ACC0119
TXN0120,2200.22,REF0120,2024-01-09,Travel #120,ACC0120
TXN0121,229.13,REF0121,2024-02-10,Training #121,ACC0121
TXN0122,4265.50,REF0122,2024-03-11,Travel #122,ACC0122
TXN0123,4905.99,REF0123,2024-04-12,Equipment #123,ACC0123
TXN0124,4124.83,REF0124,2024-05-13,Payment #124,ACC0124
TXN0125,2492.36,REF0125,2024-06-14,Training #125,ACC0125
TXN0126,4513.56,REF0126,2024-07-15,License #126,ACC0126
TXN0127,275.36,REF0127,2024-08-16,License #127,ACC0127
TXN0128,3504.93,REF0128,2024-09-17,Consulting #128,ACC0128
TXN0129,3407.87,REF0129,2024-10-18,License #129,ACC0129
TXN0130,3364.36,REF0130,2024-11-19,Maintenance #130,ACC0130
TXN0131,1578.73,REF0131,2024-12-20,Payment #131,ACC0131
TXN0132,3935.53,REF0132,2024-01-21,License #132,ACC0132
TXN0133,2418.70,REF0133,2024-02-22,Subscription #133,ACC0133
TXN0134,3092.24,REF0134,2024-03-23,Supplies #134,ACC0134
TXN0135,1397.14,REF0135,2024-04-24,Training #135,ACC0135
TXN0136,3107.12,REF0136,2024-05-25,Subscription #136,ACC0136
TXN0137,1093.83,REF0137,2024-06-26,Maintenance #137,ACC0137
TXN0138,2369.45,REF0138,2024-07-27,Payment #138,ACC0138
TXN0139,1204.55,REF0139,2024-08-28,Consulting #139,ACC0139
TXN0140,4811.07,REF0140,2024-09-01,License #140,ACC0140
TXN0141,979.46,REF0141,2024-10-02,Training #141,ACC0141
TXN0142,3308.41,REF0142,2024-11-03,Marketing #142,ACC0142
TXN0143,638.20,REF0143,2024-12-04,Payment #143,ACC0143
TXN0144,1900.12,REF0144,2024-01-05,Subscription #144,ACC0144
TXN0145,4469.66,REF0145,2024-02-06,Equipment #145,ACC0145
TXN0146,1521.53,REF0146,2024-03-07,License #146,ACC0146
TXN0147,188.80,REF0147,2024-04-08,Consulting #147,ACC0147
TXN0148,4352.60,REF0148,2024-05-09,Subscription #148,ACC0148
TXN0149,1678.96,REF0149,2024-06-10,Marketing #149,ACC0149
TXN0150,4679.12,REF0150,2024-07-11,Equipment #150,ACC0150
TXN0151,2588.93,REF0151,2024-08-12,Travel #151,ACC0151
TXN0152,3890.77,REF0152,2024-09-13,Supplies #152,ACC0152
TXN0153,1667.58,REF0153,2024-10-14,Supplies #153,ACC0153
TXN0154,4841.43,REF0154,2024-11-15,Subscription #154,ACC0154
TXN0155,892.81,REF0155,2024-12-16,Supplies #155,ACC0155
TXN0156,322.87,REF0156,2024-01-17,Marketing #156,ACC0156
TXN0157,1758.34,REF0157,2024-02-18,Supplies #157,ACC0157
TXN0158,2509.18,REF0158,2024-03-19,Maintenance #158,ACC0158
TXN0159,3606.42,REF0159,2024-04-20,Equipment #159,ACC0159
TXN0160,4658.71,REF0160,2024-05-21,Equipment #160,ACC0160
TXN0161,2578.18,REF0161,2024-06-22,Subscription #161,ACC0161
TXN0162,3088.68,REF0162,2024-07-23,Supplies #162,ACC0162
TXN0163,3313.56,REF0163,2024-08-24,Maintenance #163,ACC0163
TXN0164,4960.37,REF0164,2024-09-25,Payment #164,ACC0164
TXN0165,197.74,REF0165,2024-10-26,License #165,ACC0165
TXN0166,4187.62,REF0166,2024-11-27,Supplies #166,ACC0166
TXN0167,4896.18,REF0167,2024-12-28,Travel #167,ACC0167
TXN0168,4379.87,REF0168,2024-01-01,Marketing #168,ACC0168
TXN0169,2484.79,REF0169,2024-02-02,Travel #169,ACC0169
TXN0170,3599.88,REF0170,2024-03-03,Supplies #170,ACC0170
TXN0171,4833.55,REF0171,2024-04-04,Consulting #171,ACC0171
TXN0172,2184.70,REF0172,2024-05-05,Supplies #172,ACC0172
TXN0173,2403.15,REF0173,2024-06-06,Travel #173,ACC0173
TXN0174,3828.74,REF0174,2024-07-07,Equipment #174,ACC0174
TXN0175,4468.98,REF0175,2024-08-08,Training #175,ACC0175
TXN0176,1959.89,REF0176,2024-09-09,Travel #176,ACC0176
TXN0177,2584.29,REF0177,2024-10-10,Supplies #177,ACC0177
TXN0178,3626.69,REF0178,2024-11-11,Maintenance #178,ACC0178
TXN0179,3205.02,REF0179,2024-12-12,Marketing #179,ACC0179
TXN0180,491.51,REF0180,2024-01-13,Maintenance #180,ACC0180
TXN0181,764.57,REF0181,2024-02-14,Equipment #181,ACC0181
TXN0182,2823.96,REF0182,2024-03-15,Maintenance #182,ACC0182
TXN0183,2720.79,REF0183,2024-04-16,Travel #183,ACC0183
TXN0184,4642.16,REF0184,2024-05-17,License #184,ACC0184
TXN0185,1053.92,REF0185,2024-06-18,Payment #185,ACC0185
TXN0186,1435.95,REF0186,2024-07-19,Supplies #186,ACC0186
TXN0187,3833.91,REF0187,2024-08-20,Supplies #187,ACC0187
TXN0188,1800.22,REF0188,2024-09-21,Consulting #188,ACC0188
TXN0189,3458.23,REF0189,2024-10-22,Marketing #189,ACC0189
TXN0190,1946.41,REF0190,2024-11-23,License #190,ACC0190
TXN0191,115.95,REF0191,2024-12-24,License #191,ACC0191
TXN0192,4341.78,REF0192,2024-01-25,License #192,ACC0192
TXN0193,133.89,REF0193,2024-02-26,Payment #193,ACC0193
TXN0194,1583.57,REF0194,2024-03-27,Equipment #194,ACC0194
TXN0195,1397.52,REF0195,2024-04-28,Payment #195,ACC0195
TXN0196,551.32,REF0196,2024-05-01,Travel #196,ACC0196
TXN0197,123.58,REF0197,2024-06-02,License #197,ACC0197
TXN0198,2641.67,REF0198,2024-07-03,License #198,ACC0198
TXN0199,1970.28,REF0199,2024-08-04,Marketing #199,ACC0199
TXN0200,1647.16,REF0200,2024-09-05,License #200,ACC0200
TXN0201,4182.00,REF0201,2024-10-06,Training #201,ACC0201
TXN0202,4494.75,REF0202,2024-11-07,Subscription #202,ACC0202
TXN0203,4253.30,REF0203,2024-12-08,Subscription #203,ACC0203
TXN0204,1708.03,REF0204,2024-01-09,Maintenance #204,ACC0204
TXN0205,4971.36,REF0205,2024-02-10,Training #205,ACC0205
TXN0206,4662.47,REF0206,2024-03-11,Payment #206,ACC0206
TXN0207,2455.29,REF0207,2024-04-12,Marketing #207,ACC0207
TXN0208,3366.02,REF0208,2024-05-13,Marketing #208,ACC0208
TXN0209,4845.31,REF0209,2024-06-14,Travel #209,ACC0209
TXN0210,3678.19,REF0210,2024-07-15,License #210,ACC0210
TXN0211,2726.30,REF0211,2024-08-16,Supplies #211,ACC0211
TXN0212,3589.39,REF0212,2024-09-17,Maintenance #212,ACC0212
TXN0213,4213.69,REF0213,2024-10-18,Equipment #213,ACC0213
TXN0214,4615.58,REF0214,2024-11-19,Travel #214,ACC0214
TXN0215,423.40,REF0215,2024-12-20,Consulting #215,ACC0215
TXN0216,1681.36,REF0216,2024-01-21,Payment #216,ACC0216
TXN0217,1407.03,REF0217,2024-02-22,Supplies #217,ACC0217
TXN0218,3488.43,REF0218,2024-03-23,Marketing #218,ACC0218
TXN0219,1777.42,REF0219,2024-04-24,Equipment #219,ACC0219
TXN0220,3658.19,REF0220,2024-05-25,Consulting #220,ACC0220
TXN0221,1482.67,REF0221,2024-06-26,Travel #221,ACC0221
TXN0222,2506.68,REF0222,2024-07-27,Training #222,ACC0222
TXN0223,1854.71,REF0223,2024-08-28,Training #223,ACC0223
TXN0224,2680.30,REF0224,2024-09-01,Maintenance #224,ACC0224
TXN0225,3876.49,REF0225,2024-10-02,Supplies #225,ACC0225
TXN0226,880.45,REF0226,2024-11-03,License #226,ACC0226
TXN0227,2518.24,REF0227,2024-12-04,Subscription #227,ACC0227
TXN0228,4420.10,REF0228,2024-01-05,Supplies #228,ACC0228
TXN0229,2352.21,REF0229,2024-02-06,Consulting #229,ACC0229
TXN0230,853.28,REF0230,2024-03-07,Maintenance #230,ACC0230
TXN0231,1801.73,REF0231,2024-04-08,Subscription #231,ACC0231
TXN0232,3833.10,REF0232,2024-05-09,Maintenance #232,ACC0232
TXN0233,3699.38,REF0233,2024-06-10,License #233,ACC0233
TXN0234,346.88,REF0234,2024-07-11,Maintenance #234,ACC0234
TXN0235,3555.06,REF0235,2024-08-12,Training #235,ACC0235
TXN0236,4725.78,REF0236,2024-09-13,Training #236,ACC0236
TXN0237,2837.40,REF0237,2024-10-14,Subscription #237,ACC0237
TXN0238,4906.39,REF0238,2024-11-15,License #238,ACC0238
TXN0239,4709.83,REF0239,2024-12-16,Equipment #239,ACC0239
TXN0240,1026.23,REF0240,2024-01-17,Travel #240,ACC0240
TXN0241,1902.16,REF0241,2024-02-18,Maintenance #241,ACC0241
TXN0242,3805.67,REF0242,2024-03-19,License #242,ACC0242
TXN0243,3653.06,REF0243,2024-04-20,Training #243,ACC0243
TXN0244,459.57,REF0244,2024-05-21,Training #244,ACC0244
TXN0245,2343.42,REF0245,2024-06-22,Equipment #245,ACC0245
TXN0246,3601.59,REF0246,2024-07-23,Consulting #246,ACC0246
TXN0247,4286.18,REF0247,2024-08-24,Equipment #247,ACC0247
TXN0248,2312.16,REF0248,2024-09-25,Payment #248,ACC0248
TXN0249,2245.60,REF0249,2024-10-26,Equipment #249,ACC0249
TXN0250,305.86,REF0250,2024-11-27,License #250,ACC0250
TXN0251,1858.81,REF0251,2024-12-28,Training #251,ACC0251
TXN0252,432.24,REF0252,2024-01-01,Equipment #252,ACC0252
TXN0253,549.18,REF0253,2024-02-02,Marketing #253,ACC0253
TXN0254,3001.50,REF0254,2024-03-03,Training #254,ACC0254
TXN0255,350.91,REF0255,2024-04-04,Marketing #255,ACC0255
TXN0256,758.63,REF0256,2024-05-05,Training #256,ACC0256
TXN0257,4374.93,REF0257,2024-06-06,Travel #257,ACC0257
TXN0258,2035.69,REF0258,2024-07-07,Consulting #258,ACC0258
TXN0259,968.48,REF0259,2024-08-08,Payment #259,ACC0259
TXN0260,909.17,REF0260,2024-09-09,Payment #260,ACC0260
TXN0261,3869.53,REF0261,2024-10-10,Supplies #261,ACC0261
TXN0262,1718.22,REF0262,2024-11-11,Maintenance #262,ACC0262
TXN0263,3098.47,REF0263,2024-12-12,Maintenance #263,ACC0263
TXN0264,3701.37,REF0264,2024-01-13,Supplies #264,ACC0264
TXN0265,4397.83,REF0265,2024-02-14,Supplies #265,ACC0265
TXN0266,4287.05,REF0266,2024-03-15,Supplies #266,ACC0266
TXN0267,380.48,REF0267,2024-04-16,License #267,ACC0267
TXN0268,4430.93,REF0268,2024-05-17,Payment #268,ACC0268
TXN0269,519.79,REF0269,2024-06-18,Payment #269,ACC0269
TXN0270,2772.74,REF0270,2024-07-19,Payment #270,ACC0270
TXN0271,128.04,REF0271,2024-08-20,License #271,ACC0271
TXN0272,987.68,REF0272,2024-09-21,Training #272,ACC0272
TXN0273,3565.50,REF0273,2024-10-22,Travel #273,ACC0273
TXN0274,4255.17,REF0274,2024-11-23,Subscription #274,ACC0274
TXN0275,4666.08,REF0275,2024-12-24,Training #275,ACC0275
TXN0276,4697.35,REF0276,2024-01-25,License #276,ACC0276
TXN0277,4846.18,REF0277,2024-02-26,Travel #277,ACC0277
TXN0278,2443.74,REF0278,2024-03-27,Marketing #278,ACC0278
TXN0279,2289.05,REF0279,2024-04-28,Training #279,ACC0279
TXN0280,4678.67,REF0280,2024-05-01,Marketing #280,ACC0280
TXN0281,172.55,REF0281,2024-06-02,Supplies #281,ACC0281
TXN0282,2685.37,REF0282,2024-07-03,License #282,ACC0282
TXN0283,4079.78,REF0283,2024-08-04,Supplies #283,ACC0283
TXN0284,443.93,REF0284,2024-09-05,Maintenance #284,ACC0284
TXN0285,1956.53,REF0285,2024-10-06,Consulting #285,ACC0285
TXN0286,682.83,REF0286,2024-11-07,Subscription #286,ACC0286
TXN0287,4458.86,REF0287,2024-12-08,Equipment #287,ACC0287
TXN0288,2086.36,REF0288,2024-01-09,Maintenance #288,ACC0288
TXN0289,1964.54,REF0289,2024-02-10,Consulting #289,ACC0289
TXN0290,1896.08,REF0290,2024-03-11,Equipment #290,ACC0290
TXN0291,1716.20,REF0291,2024-04-12,Travel #291,ACC0291
TXN0292,1163.50,REF0292,2024-05-13,Maintenance #292,ACC0292
TXN0293,2769.59,REF0293,2024-06-14,Subscription #293,ACC0293
TXN0294,2849.53,REF0294,2024-07-15,Supplies #294,ACC0294
TXN0295,771.25,REF0295,2024-08-16,Supplies #295,ACC0295
TXN0296,986.24,REF0296,2024-09-17,Supplies #296,ACC0296
TXN0297,4936.39,REF0297,2024-10-18,Equipment #297,ACC0297
TXN0298,3341.41,REF0298,2024-11-19,Payment #298,ACC0298
TXN0299,3001.81,REF0299,2024-12-20,Maintenance #299,ACC0299
TXN0300,2024.55,REF0300,2024-01-21,Subscription #300,ACC0300
TXN0301,4729.67,REF0301,2024-02-22,Payment #301,ACC0301
TXN0302,3046.61,REF0302,2024-03-23,Payment #302,ACC0302
TXN0303,3814.83,REF0303,2024-04-24,Equipment #303,ACC0303
TXN0304,2417.48,REF0304,2024-05-25,Maintenance #304,ACC0304
TXN0305,892.10,REF0305,2024-06-26,Payment #305,ACC0305
TXN0306,2483.45,REF0306,2024-07-27,Maintenance #306,ACC0306
TXN0307,3448.94,REF0307,2024-08-28,Maintenance #307,ACC0307
TXN0308,126.81,REF0308,2024-09-01,Supplies #308,ACC0308
TXN0309,2938.54,REF0309,2024-10-02,Marketing #309,ACC0309
TXN0310,316.17,REF0310,2024-11-03,Marketing #310,ACC0310
TXN0311,4492.97,REF0311,2024-12-04,Subscription #311,ACC0311
TXN0312,4500.16,REF0312,2024-01-05,Equipment #312,ACC0312
TXN0313,3465.85,REF0313,2024-02-06,Supplies #313,ACC0313
TXN0314,3878.99,REF0314,2024-03-07,License #314,ACC0314
TXN0315,1831.00,REF0315,2024-04-08,Supplies #315,ACC0315
TXN0316,4547.17,REF0316,2024-05-09,Supplies #316,ACC0316
TXN0317,3127.17,REF0317,2024-06-10,License #317,ACC0317
TXN0318,3787.80,REF0318,2024-07-11,Maintenance #318,ACC0318
TXN0319,2929.98,REF0319,2024-08-12,Subscription #319,ACC0319
TXN0320,2660.91,REF0320,2024-09-13,Marketing #320,ACC0320
TXN0321,2923.70,REF0321,2024-10-14,Subscription #321,ACC0321
TXN0322,1669.13,REF0322,2024-11-15,Training #322,ACC0322
TXN0323,3396.81,REF0323,2024-12-16,Consulting #323,ACC0323
TXN0324,3530.56,REF0324,2024-01-17,Payment #324,ACC0324
TXN0325,2374.32,REF0325,2024-02-18,Training #325,ACC0325
TXN0326,428.49,REF0326,2024-03-19,Maintenance #326,ACC0326
TXN0327,3796.47,REF0327,2024-04-20,License #327,ACC0327
TXN0328,3177.13,REF0328,2024-05-21,Consulting #328,ACC0328
TXN0329,2833.67,REF0329,2024-06-22,Supplies #329,ACC0329
TXN0330,4505.72,REF0330,2024-07-23,Marketing #330,ACC0330
TXN0331,262.73,REF0331,2024-08-24,License #331,ACC0331
TXN0332,2755.69,REF0332,2024-09-25,Subscription #332,ACC0332
TXN0333,1914.76,REF0333,2024-10-26,Equipment #333,ACC0333
TXN0334,1428.90,REF0334,2024-11-27,Supplies #334,ACC0334
TXN0335,2075.74,REF0335,2024-12-28,Marketing #335,ACC0335
TXN0336,3415.55,REF0336,2024-01-01,Travel #336,ACC0336
TXN0337,4993.04,REF0337,2024-02-02,Travel #337,ACC0337
TXN0338,4567.22,REF0338,2024-03-03,Subscription #338,ACC0338
TXN0339,1156.29,REF0339,2024-04-04,Travel #339,ACC0339
TXN0340,3265.64,REF0340,2024-05-05,Maintenance #340,ACC0340
TXN0341,965.04,REF0341,2024-06-06,Payment #341,ACC0341
TXN0342,725.22,REF0342,2024-07-07,Travel #342,ACC0342
TXN0343,2234.98,REF0343,2024-08-08,Equipment #343,ACC0343
TXN0344,1668.34,REF0344,2024-09-09,Payment #344,ACC0344
TXN0345,2066.61,REF0345,2024-10-10,Maintenance #345,ACC0345
TXN0346,4378.54,REF0346,2024-11-11,Consulting #346,ACC0346
TXN0347,3606.84,REF0347,2024-12-12,Subscription #347,ACC0347
TXN0348,3958.01,REF0348,2024-01-13,License #348,ACC0348
TXN0349,869.21,REF0349,2024-02-14,Consulting #349,ACC0349
TXN0350,4117.56,REF0350,2024-03-15,Equipment #350,ACC0350
TXN0351,4866.46,REF0351,2024-04-16,Equipment #351,ACC0351
TXN0352,2925.99,REF0352,2024-05-17,Consulting #352,ACC0352
TXN0353,2475.41,REF0353,2024-06-18,Equipment #353,ACC0353
TXN0354,2752.35,REF0354,2024-07-19,Maintenance #354,ACC0354
TXN0355,3316.47,REF0355,2024-08-20,Travel #355,ACC0355
TXN0356,4157.53,REF0356,2024-09-21,Payment #356,ACC0356
TXN0357,3773.12,REF0357,2024-10-22,License #357,ACC0357
TXN0358,2749.71,REF0358,2024-11-23,Maintenance #358,ACC0358
TXN0359,446.07,REF0359,2024-12-24,Payment #359,ACC0359
TXN0360,1037.43,REF0360,2024-01-25,Consulting #360,ACC0360
TXN0361,4529.68,REF0361,2024-02-26,Equipment #361,ACC0361
TXN0362,617.37,REF0362,2024-03-27,Equipment #362,ACC0362
TXN0363,2059.64,REF0363,2024-04-28,Equipment #363,ACC0363
TXN0364,4010.44,REF0364,2024-05-01,License #364,ACC0364
TXN0365,2199.54,REF0365,2024-06-02,Maintenance #365,ACC0365
TXN0366,2645.49,REF0366,2024-07-03,Maintenance #366,ACC0366
TXN0367,332.78,REF0367,2024-08-04,Subscription #367,ACC0367
TXN0368,2052.43,REF0368,2024-09-05,Marketing #368,ACC0368
TXN0369,707.01,REF0369,2024-10-06,Consulting #369,ACC0369
TXN0370,1083.32,REF0370,2024-11-07,Payment #370,ACC0370
TXN0371,517.10,REF0371,2024-12-08,Subscription #371,ACC0371
TXN0372,2225.80,REF0372,2024-01-09,Subscription #372,ACC0372
TXN0373,3274.40,REF0373,2024-02-10,Maintenance #373,ACC0373
TXN0374,137.01,REF0374,2024-03-11,License #374,ACC0374
TXN0375,4658.20,REF0375,2024-04-12,Marketing #375,ACC0375
TXN0376,110.91,REF0376,2024-05-13,Travel #376,ACC0376
TXN0377,2093.39,REF0377,2024-06-14,Consulting #377,ACC0377
TXN0378,524.87,REF0378,2024-07-15,Subscription #378,ACC0378
TXN0379,547.74,REF0379,2024-08-16,Training #379,ACC0379
TXN0380,2809.33,REF0380,2024-09-17,License #380,ACC0380
TXN0381,1463.21,REF0381,2024-10-18,Training #381,ACC0381
TXN0382,528.99,REF0382,2024-11-19,Maintenance #382,ACC0382
TXN0383,4321.76,REF0383,2024-12-20,Subscription #383,ACC0383
TXN0384,2487.44,REF0384,2024-01-21,Supplies #384,ACC0384
TXN0385,4597.70,REF0385,2024-02-22,Supplies #385,ACC0385
TXN0386,4878.88,REF0386,2024-03-23,Maintenance #386,ACC0386
TXN0387,1857.16,REF0387,2024-04-24,Subscription #387,ACC0387
TXN0388,3101.13,REF0388,2024-05-25,License #388,ACC0388
TXN0389,1878.83,REF0389,2024-06-26,Marketing #389,ACC0389
TXN0390,3932.82,REF0390,2024-07-27,License #390,ACC0390
TXN0391,2554.95,REF0391,2024-08-28,Marketing #391,ACC0391
TXN0392,4222.17,REF0392,2024-09-01,License #392,ACC0392
TXN0393,407.41,REF0393,2024-10-02,Subscription #393,ACC0393
TXN0394,4263.04,REF0394,2024-11-03,Maintenance #394,ACC0394
TXN0395,1529.64,REF0395,2024-12-04,Equipment #395,ACC0395
